IP,Name,Test_Num,Record,Record_Type,Duration,TTL,Answer_Count,Response
85.19.217.194,USR43-85.19.217.194,0,fsweb.no.,A,23.25892448425293,80691,1,129.240.118.183,
85.19.217.194,USR43-85.19.217.194,0,www.uio.no.,A,26.272058486938477,42183,1,129.240.118.130,
85.19.217.194,USR43-85.19.217.194,0,static.vg.no.,A,34.91497039794922,300,2,"vgc.no. -> 195.88.54.95, 195.88.55.95",
85.19.217.194,USR43-85.19.217.194,0,dagbladet.no.,A,28.042078018188477,235,1,"104.18.12.138, 104.18.13.138",
85.19.217.194,USR43-85.19.217.194,0,www.uio.no.,A,27.493953704833984,42181,1,129.240.118.130,
85.19.217.194,USR43-85.19.217.194,0,www.sas.no.,A,70.79005241394043,300,2,cs2.adn.thetacdn.net. -> 152.199.17.199,
85.19.217.194,USR43-85.19.217.194,0,sandnes.kommune.no.,A,24.962186813354492,516,1,91.247.74.250,
85.19.217.194,USR43-85.19.217.194,0,www.nav.no.,A,27.73284912109375,512,1,155.55.150.1,
85.19.217.194,USR43-85.19.217.194,0,www.vg.no.,A,28.234004974365234,251,1,"195.88.55.16, 195.88.54.16",
85.19.217.194,USR43-85.19.217.194,0,www.viaplay.no.,A,30.604124069213867,3,1,"52.84.136.22, 52.84.136.33, 52.84.136.45, 52.84.136.47",
85.19.217.194,USR43-85.19.217.194,0,difi.no.,A,24.523019790649414,3553,1,"79.170.81.231, 79.170.81.233, 79.170.81.232",
85.19.217.194,USR43-85.19.217.194,0,www.nmkegersund.no.,A,49.32284355163574,14400,2,nmkegersund.no. -> 178.164.11.114,
85.19.217.194,USR43-85.19.217.194,0,www.e24.no.,A,23.571014404296875,543,2,e24.no. -> 195.88.55.47,
85.19.217.194,USR43-85.19.217.194,0,www.skatteetaten.no.,A,631.723165512085,3599,2,"www.skatteetaten.no.cdn.cloudflare.net. -> 104.17.122.184, 104.17.123.184",
85.19.217.194,USR43-85.19.217.194,0,www.aftenposten.no.,A,24.049043655395508,67,2,"sndcache.vgc.no. -> 195.88.55.37, 195.88.54.37",
85.19.217.194,USR43-85.19.217.194,0,www.finn.no.,A,74.58305358886719,300,1,152.90.94.9,
85.19.217.194,USR43-85.19.217.194,0,www.uio.no.,A,26.329994201660156,42174,1,129.240.118.130,
85.19.217.194,USR43-85.19.217.194,0,www.tv2.no.,A,23.2999324798584,2593,1,5.44.65.150,
85.19.217.194,USR43-85.19.217.194,0,www.vg.no.,A,24.6579647064209,245,1,"195.88.54.16, 195.88.55.16",
85.19.217.194,USR43-85.19.217.194,0,www.tek.no.,A,30.946969985961914,7,1,"52.84.136.112, 52.84.136.13, 52.84.136.32, 52.84.136.126",
85.19.217.194,USR43-85.19.217.194,0,e24.no.,A,29.07395362854004,499,1,195.88.55.47,
85.19.217.194,USR43-85.19.217.194,0,www.e24.no.,A,24.501800537109375,537,2,e24.no. -> 195.88.55.47,
85.19.217.194,USR43-85.19.217.194,0,www.google.no.,A,24.55902099609375,217,1,216.58.211.131,
85.19.217.194,USR43-85.19.217.194,0,dn.no.,A,35.12978553771973,60,1,87.238.33.145,
85.19.217.194,USR43-85.19.217.194,0,aftenposten.no.,A,36.22698783874512,300,1,"195.88.55.37, 195.88.54.37",
85.19.217.194,USR43-85.19.217.194,0,www.tv2.no.,A,26.13997459411621,2588,1,5.44.65.150,
85.19.217.194,USR43-85.19.217.194,0,www.feide.no.,A,24.686098098754883,278,2,nymedia-web.uninett.no. -> 52.211.32.98,
85.19.217.194,USR43-85.19.217.194,0,dn.no.,A,23.396968841552734,58,1,87.238.33.145,
85.19.217.194,USR43-85.19.217.194,0,www.udir.no.,A,22.855043411254883,239,1,195.254.217.220,
85.19.217.194,USR43-85.19.217.194,0,www.difi.no.,A,23.648977279663086,373,2,"lb.difi.no. -> 79.170.81.231, 79.170.81.232, 79.170.81.233",
85.19.217.194,USR43-85.19.217.194,0,www.smp.no.,A,40.959835052490234,3600,1,193.161.16.130,
